Car,MPG,Cylinders,Displacement,Horsepower,Weight,Automatic,Acceleration,Model,Origin
Chevrolet Chevelle Malibu,18,8,307,130,3504,1,12,70,US
Buick Skylark 320,15,8,350,165,3693,1,11.5,70,US
Plymouth Satellite,18,8,318,150,3436,1,11,70,US
AMC Rebel SST,16,8,304,150,3433,1,12,70,US
Ford Torino,17,8,302,140,3449,1,10.5,70,US
Ford Galaxie 500,15,8,429,198,4341,0,10,70,US
Chevrolet Impala,14,8,454,220,4354,0,9,70,US
Plymouth Fury iii,14,8,440,215,4312,1,8.5,70,US
Pontiac Catalina,14,8,455,225,4425,0,10,70,US
AMC Ambassador DPL,15,8,390,190,3850,0,8.5,70,US
Citroen DS-21 Pallas,0,4,133,115,3090,0,17.5,70,Europe
Chevrolet Chevelle Concours (sw),0,8,350,165,4142,0,11.5,70,US
Ford Torino (sw),0,8,351,153,4034,0,11,70,US
Plymouth Satellite (sw),0,8,383,175,4166,0,10.5,70,US
AMC Rebel SST (sw),0,8,360,175,3850,0,11,70,US
Dodge Challenger SE,15,8,383,170,3563,0,10,70,US
Plymouth 'Cuda 340,14,8,340,160,3609,0,8,70,US
Ford Mustang Boss 302,0,8,302,140,3353,0,8,70,US
Chevrolet Monte Carlo,15,8,400,150,3761,0,9.5,70,US
Buick Estate Wagon (sw),14,8,455,225,3086,0,10,70,US
Toyota Corolla Mark ii,24,4,113,95,2372,0,15,70,Japan
Plymouth Duster,22,6,198,95,2833,1,15.5,70,US
AMC Hornet,18,6,199,97,2774,1,15.5,70,US
Ford Maverick,21,6,200,85,2587,1,16,70,US
Datsun PL510,27,4,97,88,2130,1,14.5,70,Japan
Volkswagen 1131 Deluxe Sedan,26,4,97,46,1835,0,20.5,70,Europe
Peugeot 504,25,4,110,87,2672,1,17.5,70,Europe
Audi 100 LS,24,4,107,90,2430,1,14.5,70,Europe
Saab 99e,25,4,104,95,2375,1,17.5,70,Europe
BMW 2002,26,4,121,113,2234,0,12.5,70,Europe
AMC Gremlin,21,6,199,90,2648,1,15,70,US
Ford F250,10,8,360,215,4615,0,14,70,US
Chevy C20,10,8,307,200,4376,1,15,70,US
Dodge D200,11,8,318,210,4382,1,13.5,70,US
Hi 1200D,9,8,304,193,4732,1,18.5,70,US
Datsun PL510,27,4,97,88,2130,1,14.5,71,Japan
Chevrolet Vega 2300,28,4,140,90,2264,1,15.5,71,US
Toyota Corolla,25,4,113,95,2228,1,14,71,Japan
Ford Pinto,25,4,98,0,2046,1,19,71,US
Volkswagen Super Beetle 117,0,4,97,48,1978,0,20,71,Europe
AMC Gremlin,19,6,232,100,2634,0,13,71,US
Plymouth Satellite Custom,16,6,225,105,3439,0,15.5,71,US
Chevrolet Chevelle Malibu,17,6,250,100,3329,0,15.5,71,US
Ford Torino 500,19,6,250,88,3302,1,15.5,71,US
AMC Matador,18,6,232,100,3288,1,15.5,71,US
Chevrolet Impala,14,8,350,165,4209,1,12,71,US
Pontiac Catalina Brougham,14,8,400,175,4464,1,11.5,71,US
Ford Galaxie 500,14,8,351,153,4154,1,13.5,71,US
Plymouth Fury iii,14,8,318,150,4096,1,13,71,US
Dodge Monaco (sw),12,8,383,180,4955,0,11.5,71,US
Ford Country Squire (sw),13,8,400,170,4746,1,12,71,US
Pontiac Safari (sw),13,8,400,175,5140,1,12,71,US
AMC Hornet Sportabout (sw),18,6,258,110,2962,1,13.5,71,US
Chevrolet Vega (sw),22,4,140,72,2408,0,19,71,US
Pontiac Firebird,19,6,250,100,3282,0,15,71,US
Ford Mustang,18,6,250,88,3139,0,14.5,71,US
Mercury Capri 2000,23,4,122,86,2220,1,14,71,US
Opel 1900,28,4,116,90,2123,0,14,71,Europe
Peugeot 304,30,4,79,70,2074,1,19.5,71,Europe
Fiat 124B,30,4,88,76,2065,1,14.5,71,Europe
Toyota Corolla 1200,31,4,71,65,1773,1,19,71,Japan
Datsun 1200,35,4,72,69,1613,1,18,71,Japan
Volkswagen Model 111,27,4,97,60,1834,0,19,71,Europe
Plymouth Cricket,26,4,91,70,1955,1,20.5,71,US
Toyota Corolla Hardtop,24,4,113,95,2278,1,15.5,72,Japan
Dodge Colt Hardtop,25,4,97.5,80,2126,1,17,72,US
Volkswagen Type 3,23,4,97,54,2254,1,23.5,72,Europe
Chevrolet Vega,20,4,140,90,2408,0,19.5,72,US
Ford Pinto Runabout,21,4,122,86,2226,1,16.5,72,US
Chevrolet Impala,13,8,350,165,4274,1,12,72,US
Pontiac Catalina,14,8,400,175,4385,0,12,72,US
Plymouth Fury III,15,8,318,150,4135,1,13.5,72,US
Ford Galaxie 500,14,8,351,153,4129,1,13,72,US
AMC Ambassador SST,17,8,304,150,3672,1,11.5,72,US
Mercury Marquis,11,8,429,208,4633,0,11,72,US
Buick LeSabre Custom,13,8,350,155,4502,1,13.5,72,US
Oldsmobile Delta 88 Royale,12,8,350,160,4456,1,13.5,72,US
Chrysler Newport Royal,13,8,400,190,4422,1,12.5,72,US
Mazda RX2 Coupe,19,3,70,97,2330,0,13.5,72,Japan
AMC Matador (sw),15,8,304,150,3892,0,12.5,72,US
Chevrolet Chevelle Concours (sw),13,8,307,130,4098,0,14,72,US
Ford Gran Torino (sw),13,8,302,140,4294,0,16,72,US
Plymouth Satellite Custom (sw),14,8,318,150,4077,1,14,72,US
Volvo 145e (sw),18,4,121,112,2933,1,14.5,72,Europe
Volkswagen 411 (sw),22,4,121,76,2511,1,18,72,Europe
Peugeot 504 (sw),21,4,120,87,2979,1,19.5,72,Europe
Renault 12 (sw),26,4,96,69,2189,1,18,72,Europe
Ford Pinto (sw),22,4,122,86,2395,0,16,72,US
Datsun 510 (sw),28,4,97,92,2288,0,17,72,Japan
Toyota Corolla Mark II (sw),23,4,120,97,2506,1,14.5,72,Japan
Dodge Colt (sw),28,4,98,80,2164,0,15,72,US
Toyota Corolla 1600 (sw),27,4,97,88,2100,0,16.5,72,Japan
Buick Century 350,13,8,350,175,4100,0,13,73,US
AMC Matador,14,8,304,150,3672,0,11.5,73,US
Chevrolet Malibu,13,8,350,145,3988,0,13,73,US
Ford Gran Torino,14,8,302,137,4042,0,14.5,73,US
Dodge Coronet Custom,15,8,318,150,3777,0,12.5,73,US
Mercury Marquis Brougham,12,8,429,198,4952,0,11.5,73,US
Chevrolet Caprice Classic,13,8,400,150,4464,0,12,73,US
Ford LTD,13,8,351,158,4363,0,13,73,US
Plymouth Fury Gran Sedan,14,8,318,150,4237,0,14.5,73,US
Chrysler New Yorker Brougham,13,8,440,215,4735,0,11,73,US
Buick Electra 225 Custom,12,8,455,225,4951,0,11,73,US
AMC Ambassador Brougham,13,8,360,175,3821,1,11,73,US
Plymouth Valiant,18,6,225,105,3121,1,16.5,73,US
Chevrolet Nova Custom,16,6,250,100,3278,1,18,73,US
AMC Hornet,18,6,232,100,2945,1,16,73,US
Ford Maverick,18,6,250,88,3021,0,16.5,73,US
Plymouth Duster,23,6,198,95,2904,1,16,73,US
Volkswagen Super Beetle,26,4,97,46,1950,1,21,73,Europe
Chevrolet Impala,11,8,400,150,4997,1,14,73,US
Ford Country,12,8,400,167,4906,0,12.5,73,US
Plymouth Custom Suburb,13,8,360,170,4654,1,13,73,US
Oldsmobile Vista Cruiser,12,8,350,180,4499,0,12.5,73,US
AMC Gremlin,18,6,232,100,2789,1,15,73,US
Toyota Camry,20,4,97,88,2279,1,19,73,Japan
Chevrolet Vega,21,4,140,72,2401,1,19.5,73,US
Datsun 610,22,4,108,94,2379,1,16.5,73,Japan
Mazda RX3,18,3,70,90,2124,1,13.5,73,Japan
Ford Pinto,19,4,122,85,2310,1,18.5,73,US
Mercury Capri v6,21,6,155,107,2472,1,14,73,US
Fiat 124 Sport Coupe,26,4,98,90,2265,0,15.5,73,Europe
Chevrolet Monte Carlo S,15,8,350,145,4082,0,13,73,US
Pontiac Grand Prix,16,8,400,230,4278,0,9.5,73,US
Fiat 128,29,4,68,49,1867,0,19.5,73,Europe
Opel Manta,24,4,116,75,2158,1,15.5,73,Europe
Audi 100LS,20,4,114,91,2582,1,14,73,Europe
Volvo 144ea,19,4,121,112,2868,1,15.5,73,Europe
Dodge Dart Custom,15,8,318,150,3399,1,11,73,US
Saab 99le,24,4,121,110,2660,1,14,73,Europe
Toyota Mark II,20,6,156,122,2807,1,13.5,73,Japan
Oldsmobile Omega,11,8,350,180,3664,0,11,73,US
Plymouth Duster,20,6,198,95,3102,1,16.5,74,US
Ford Maverick,21,6,200,0,2875,1,17,74,US
AMC Hornet,19,6,232,100,2901,1,16,74,US
Chevrolet Nova,15,6,250,100,3336,0,17,74,US
Datsun B210,31,4,79,67,1950,0,19,74,Japan
Ford Pinto,26,4,122,80,2451,0,16.5,74,US
Toyota Corolla 1200,32,4,71,65,1836,1,21,74,Japan
Chevrolet Vega,25,4,140,75,2542,0,17,74,US
Chevrolet Chevelle Malibu Classic,16,6,250,100,3781,1,17,74,US
AMC Matador,16,6,258,110,3632,1,18,74,US
Plymouth Satellite Sebring,18,6,225,105,3613,1,16.5,74,US
Ford Gran Torino,16,8,302,140,4141,1,14,74,US
Buick Century Luxus (sw),13,8,350,150,4699,0,14.5,74,US
Dodge Coronet Custom (sw),14,8,318,150,4457,1,13.5,74,US
Ford Gran Torino (sw),14,8,302,140,4638,1,16,74,US
AMC Matador (sw),14,8,304,150,4257,1,15.5,74,US
Audi Fox,29,4,98,83,2219,1,16.5,74,Europe
Volkswagen Dasher,26,4,79,67,1963,0,15.5,74,Europe
Opel Manta,26,4,97,78,2300,1,14.5,74,Europe
Toyota Corolla,31,4,76,52,1649,1,16.5,74,Japan
Datsun 710,32,4,83,61,2003,0,19,74,Japan
Dodge Colt,28,4,90,75,2125,1,14.5,74,US
Fiat 128,24,4,90,75,2108,1,15.5,74,Europe
Fiat 124 TC,26,4,116,75,2246,1,14,74,Europe
Honda Civic,24,4,120,97,2489,0,15,74,Japan
Subaru,26,4,108,93,2391,1,15.5,74,Japan
Fiat x1.9,31,4,79,67,2000,1,16,74,Europe
Plymouth Valiant Custom,19,6,225,95,3264,1,16,75,US
Chevrolet Nova,18,6,250,105,3459,0,16,75,US
Mercury Monarch,15,6,250,72,3432,0,21,75,US
Ford Maverick,15,6,250,72,3158,0,19.5,75,US
Pontiac Catalina,16,8,400,170,4668,0,11.5,75,US
Chevrolet Bel Air,15,8,350,145,4440,0,14,75,US
Plymouth Grand Fury,16,8,318,150,4498,0,14.5,75,US
Ford LTD,14,8,351,148,4657,0,13.5,75,US
Buick Century,17,6,231,110,3907,1,21,75,US
Chevrolete Chevelle Malibu,16,6,250,105,3897,1,18.5,75,US
AMC Matador,15,6,258,110,3730,1,19,75,US
Plymouth Fury,18,6,225,95,3785,1,19,75,US
Buick Skyhawk,21,6,231,110,3039,1,15,75,US
Chevrolet Monza 2+2,20,8,262,110,3221,1,13.5,75,US
Ford Mustang II,13,8,302,129,3169,1,12,75,US
Toyota Corolla,29,4,97,75,2171,1,16,75,Japan
Ford Pinto,23,4,140,83,2639,0,17,75,US
AMC Gremlin,20,6,232,100,2914,0,16,75,US
Pontiac Astro,23,4,140,78,2592,1,18.5,75,US
Toyota Corolla,24,4,134,96,2702,0,13.5,75,Japan
Volkswagen Dasher,25,4,90,71,2223,0,16.5,75,Europe
Datsun 710,24,4,119,97,2545,0,17,75,Japan
Ford Pinto,18,6,171,97,2984,0,14.5,75,US
Volkswagen Rabbit,29,4,90,70,1937,0,14,75,Europe
AMC Pacer,19,6,232,90,3211,0,17,75,US
Audi 100LS,23,4,115,95,2694,0,15,75,Europe
Peugeot 504,23,4,120,88,2957,0,17,75,Europe
Volvo 244DL,22,4,121,98,2945,0,14.5,75,Europe
Saab 99LE,25,4,121,115,2671,0,13.5,75,Europe
Honda Civic CVCC,33,4,91,53,1795,0,17.5,75,Japan
Fiat 131,28,4,107,86,2464,0,15.5,76,Europe
Opel 1900,25,4,116,81,2220,0,16.9,76,Europe
Capri ii,25,4,140,92,2572,1,14.9,76,US
Dodge Colt,26,4,98,79,2255,1,17.7,76,US
Renault 12tl,27,4,101,83,2202,1,15.3,76,Europe
Chevrolet Chevelle Malibu Classic,17.5,8,305,140,4215,1,13,76,US
Dodge Coronet Brougham,16,8,318,150,4190,0,13,76,US
AMC Matador,15.5,8,304,120,3962,1,13.9,76,US
Ford Gran Torino,14.5,8,351,152,4215,1,12.8,76,US
Plymouth Valiant,22,6,225,100,3233,1,15.4,76,US
Chevrolet Nova,22,6,250,105,3353,0,14.5,76,US
Ford Maverick,24,6,200,81,3012,1,17.6,76,US
AMC Hornet,22.5,6,232,90,3085,0,17.6,76,US
Chevrolet Chevette,29,4,85,52,2035,1,22.2,76,US
Chevrolet Woody,24.5,4,98,60,2164,1,22.1,76,US
Volkswagen Rabbit,29,4,90,70,1937,1,14.2,76,Europe
Honda Civic,33,4,91,53,1795,1,17.4,76,Japan
Dodge Aspen SE,20,6,225,100,3651,1,17.7,76,US
Ford Grenada ghia,18,6,250,78,3574,1,21,76,US
Pontiac Ventura SJ,18.5,6,250,110,3645,1,16.2,76,US
AMC Pacer d/l,17.5,6,258,95,3193,0,17.8,76,US
Volkswagen Rabbit,29.5,4,97,71,1825,0,12.2,76,Europe
Datsun B-210,32,4,85,70,1990,0,17,76,Japan
Toyota Corolla,28,4,97,75,2155,0,16.4,76,Japan
Ford Pinto,26.5,4,140,72,2565,1,13.6,76,US
Volvo 245,20,4,130,102,3150,1,15.7,76,Europe
Plymouth Volare Premier v8,13,8,318,150,3940,1,13.2,76,US
Peugeot 504,19,4,120,88,3270,1,21.9,76,Europe
Toyota Mark II,19,6,156,108,2930,1,15.5,76,Japan
Mercedes-Benz 280s,16.5,6,168,120,3820,1,16.7,76,Europe
Cadillac Seville,16.5,8,350,180,4380,0,12.1,76,US
Chevrolet C10,13,8,350,145,4055,1,12,76,US
Ford F108,13,8,302,130,3870,1,15,76,US
Dodge D100,13,8,318,150,3755,1,14,76,US
Honda Accord CVCC,31.5,4,98,68,2045,0,18.5,77,Japan
Buick Opel Isuzu Deluxe,30,4,111,80,2155,0,14.8,77,US
Renault 5 GTL,36,4,79,58,1825,0,18.6,77,Europe
Plymouth Arrow GS,25.5,4,122,96,2300,1,15.5,77,US
Datsun F-10 Hatchback,33.5,4,85,70,1945,0,16.8,77,Japan
Chevrolet Caprice Classic,17.5,8,305,145,3880,1,12.5,77,US
Oldsmobile Cutlass Supreme,17,8,260,110,4060,1,19,77,US
Dodge Monaco Brougham,15.5,8,318,145,4140,1,13.7,77,US
Mercury Cougar Brougham,15,8,302,130,4295,1,14.9,77,US
Chevrolet Concours,17.5,6,250,110,3520,0,16.4,77,US
Buick Skylark,20.5,6,231,105,3425,1,16.9,77,US
Plymouth Volare Custom,19,6,225,100,3630,1,17.7,77,US
Ford Grenada,18.5,6,250,98,3525,1,19,77,US
Pontiac Grand Prix LJ,16,8,400,180,4220,1,11.1,77,US
Chevrolet Monte Carlo Landau,15.5,8,350,170,4165,0,11.4,77,US
Chrysler Cordoba,15.5,8,400,190,4325,1,12.2,77,US
Ford Thunderbird,16,8,351,149,4335,1,14.5,77,US
Volkswagen Rabbit Custom,29,4,97,78,1940,0,14.5,77,Europe
Pontiac Sunbird Coupe,24.5,4,151,88,2740,1,16,77,US
Toyota Corolla Liftback,26,4,97,75,2265,1,18.2,77,Japan
Ford Mustang II 2+2,25.5,4,140,89,2755,1,15.8,77,US
Chevrolet Chevette,30.5,4,98,63,2051,0,17,77,US
Dodge Colt m/m,33.5,4,98,83,2075,1,15.9,77,US
Subaru DL,30,4,97,67,1985,1,16.4,77,Japan
Volkswagen Dasher,30.5,4,97,78,2190,1,14.1,77,Europe
Datsun 810,22,6,146,97,2815,0,14.5,77,Japan
BMW 320i,21.5,4,121,110,2600,0,12.8,77,Europe
Mazda RX-4,21.5,3,80,110,2720,0,13.5,77,Japan
Volkswagen Rabbit Custom Diesel,43.1,4,90,48,1985,0,21.5,78,Europe
Ford Fiesta,36.1,4,98,66,1800,1,14.4,78,US
Mazda GLC Deluxe,32.8,4,78,52,1985,1,19.4,78,Japan
Datsun B210 GX,39.4,4,85,70,2070,1,18.6,78,Japan
Honda Civic CVCC,36.1,4,91,60,1800,1,16.4,78,Japan
Oldsmobile Cutlass Salon Brougham,19.9,8,260,110,3365,1,15.5,78,US
Dodge Diplomat,19.4,8,318,140,3735,0,13.2,78,US
Mercury Monarch ghia,20.2,8,302,139,3570,0,12.8,78,US
Pontiac Phoenix LJ,19.2,6,231,105,3535,1,19.2,78,US
Chevrolet Malibu,20.5,6,200,95,3155,0,18.2,78,US
Ford Fairmont (auto),20.2,6,200,85,2965,0,15.8,78,US
Ford Fairmont (man),25.1,4,140,88,2720,0,15.4,78,US
Plymouth Volare,20.5,6,225,100,3430,0,17.2,78,US
AMC Concord,19.4,6,232,90,3210,0,17.2,78,US
Buick Century Special,20.6,6,231,105,3380,0,15.8,78,US
Mercury Zephyr,20.8,6,200,85,3070,0,16.7,78,US
Dodge Aspen,18.6,6,225,110,3620,0,18.7,78,US
AMC Concord d/l,18.1,6,258,120,3410,0,15.1,78,US
Chevrolet Monte Carlo Landau,19.2,8,305,145,3425,0,13.2,78,US
Buick Regal Sport Coupe (turbo),17.7,6,231,165,3445,0,13.4,78,US
Ford Futura,18.1,8,302,139,3205,0,11.2,78,US
Dodge Magnum XE,17.5,8,318,140,4080,0,13.7,78,US
Chevrolet Chevette,30,4,98,68,2155,1,16.5,78,US
Toyota Corolla,27.5,4,134,95,2560,1,14.2,78,Japan
Datsun 510,27.2,4,119,97,2300,1,14.7,78,Japan
Dodge Omni,30.9,4,105,75,2230,1,14.5,78,US
Toyota Celica GT Liftback,21.1,4,134,95,2515,0,14.8,78,Japan
Plymouth Sapporo,23.2,4,156,105,2745,1,16.7,78,US
Oldsmobile Starfire SX,23.8,4,151,85,2855,1,17.6,78,US
Datsun 200-SX,23.9,4,119,97,2405,1,14.9,78,Japan
Audi 5000,20.3,5,131,103,2830,0,15.9,78,Europe
Volvo 264gl,17,6,163,125,3140,1,13.6,78,Europe
Saab 99gle,21.6,4,121,115,2795,0,15.7,78,Europe
Peugeot 604sl,16.2,6,163,133,3410,1,15.8,78,Europe
Volkswagen Scirocco,31.5,4,89,71,1990,1,14.9,78,Europe
Honda Accord LX,29.5,4,98,68,2135,1,16.6,78,Japan
Pontiac Lemans V6,21.5,6,231,115,3245,1,15.4,79,US
Mercury Zephyr 6,19.8,6,200,85,2990,1,18.2,79,US
Ford Fairmont 4,22.3,4,140,88,2890,1,17.3,79,US
AMC Concord DL 6,20.2,6,232,90,3265,1,18.2,79,US
Dodge Aspen 6,20.6,6,225,110,3360,0,16.6,79,US
Chevrolet Caprice Classic,17,8,305,130,3840,0,15.4,79,US
Ford LTD Landau,17.6,8,302,129,3725,0,13.4,79,US
Mercury Grand Marquis,16.5,8,351,138,3955,0,13.2,79,US
Dodge St. Regis,18.2,8,318,135,3830,1,15.2,79,US
Buick Estate Wagon (sw),16.9,8,350,155,4360,1,14.9,79,US
Ford Country Squire (sw),15.5,8,351,142,4054,1,14.3,79,US
Chevrolet Malibu Classic (sw),19.2,8,267,125,3605,1,15,79,US
Chrysler Lebaron Town @ Country (sw),18.5,8,360,150,3940,1,13,79,US
Volkswagen Rabbit Custom,31.9,4,89,71,1925,1,14,79,Europe
Mazda GLC Deluxe,34.1,4,86,65,1975,0,15.2,79,Japan
Dodge Colt Hatchback Custom,35.7,4,98,80,1915,1,14.4,79,US
AMC Spirit DL,27.4,4,121,80,2670,1,15,79,US
Mercedes Benz 300d,25.4,5,183,77,3530,1,20.1,79,Europe
Cadillac Eldorado,23,8,350,125,3900,0,17.4,79,US
Peugeot 504,27.2,4,141,71,3190,0,24.8,79,Europe
Oldsmobile Cutlass Salon Brougham,23.9,8,260,90,3420,0,22.2,79,US
Plymouth Horizon,34.2,4,105,70,2200,1,13.2,79,US
Plymouth Horizon TC3,34.5,4,105,70,2150,0,14.9,79,US
Datsun 210,31.8,4,85,65,2020,1,19.2,79,Japan
Fiat Strada Custom,37.3,4,91,69,2130,1,14.7,79,Europe
Buick Skylark Limited,28.4,4,151,90,2670,1,16,79,US
Chevrolet Citation,28.8,6,173,115,2595,1,11.3,79,US
Oldsmobile Omega Brougham,26.8,6,173,115,2700,0,12.9,79,US
Pontiac Phoenix,33.5,4,151,90,2556,1,13.2,79,US
Volkswagen Rabbit,41.5,4,98,76,2144,1,14.7,80,Europe
Toyota Corolla Tercel,38.1,4,89,60,1968,1,18.8,80,Japan
Chevrolet Chevette,32.1,4,98,70,2120,1,15.5,80,US
Datsun 310,37.2,4,86,65,2019,0,16.4,80,Japan
Chevrolet Citation,28,4,151,90,2678,1,16.5,80,US
Ford Fairmont,26.4,4,140,88,2870,1,18.1,80,US
AMC Concord,24.3,4,151,90,3003,0,20.1,80,US
Dodge Aspen,19.1,6,225,90,3381,1,18.7,80,US
Audi 4000,34.3,4,97,78,2188,1,15.8,80,Europe
Toyota Corolla Liftback,29.8,4,134,90,2711,1,15.5,80,Japan
Mazda 626,31.3,4,120,75,2542,0,17.5,80,Japan
Datsun 510 Hatchback,37,4,119,92,2434,1,15,80,Japan
Toyota Corolla,32.2,4,108,75,2265,1,15.2,80,Japan
Mazda GLC,46.6,4,86,65,2110,1,17.9,80,Japan
Dodge Colt,27.9,4,156,105,2800,0,14.4,80,US
Datsun 210,40.8,4,85,65,2110,0,19.2,80,Japan
Volkswagen Rabbit C (Diesel),44.3,4,90,48,2085,0,21.7,80,Europe
Volkswagen Dasher (diesel),43.4,4,90,48,2335,0,23.7,80,Europe
Audi 5000s (diesel),36.4,5,121,67,2950,0,19.9,80,Europe
Mercedes-Benz 240d,30,4,146,67,3250,0,21.8,80,Europe
Honda Civic 1500 gl,44.6,4,91,67,1850,1,13.8,80,Japan
Renault Lecar Deluxe,40.9,4,85,0,1835,1,17.3,80,Europe
