Round,Tomato,Price,Source,Sweet,Acid,Color,Texture,Overall,Avg of Totals,Total of Avg
1,Simpson SM,3.99,Whole Foods,2.8,2.8,3.7,3.4,3.4,16.1,16.1
1,Tuttorosso (blue),2.99,Pioneer,3.3,2.8,3.4,3,2.9,15.3,15.3
1,Tuttorosso (green),0.99,Pioneer,2.8,2.6,3.3,2.8,2.9,14.3,14.3
1,La Fede SM DOP,3.99,Shop Rite,2.6,2.8,3,2.3,2.8,13.4,13.4
2,Cento SM DOP,5.49,D Agostino,3.3,3.1,2.9,2.8,3.1,14.4,15.2
2,Cento Organic,4.99,D Agostino,3.2,2.9,2.9,3.1,2.9,15.5,15.1
2,La Valle SM,3.99,Shop Rite,2.6,2.8,3.6,3.4,2.6,14.7,14.9
2,La Valle SM DOP,3.99,Faicos,2.1,2.7,3.1,2.4,2.2,12.6,12.5
3,Stanislaus Alta Cucina,4.53,Restaurant Depot,3.4,3.3,4.1,3.2,3.7,17.8,17.7
3,Ciao,,Other,2.6,2.9,3.4,3.3,2.9,15.3,15.2
3,Scotts Backyard SM,0,Home Grown,1.6,2.9,3.1,2.4,1.9,11.9,11.9
3,Di Casa Barone (organic),12.8,Eataly,1.7,3.6,3.8,2.3,1.4,12.7,12.7
4,Trader Joes Plum,1.49,Trader Joes,3.4,3.3,4,3.6,3.9,17.8,18.2
4,365 Whole Foods,1.49,Whole Foods,2.8,2.7,3.4,3.1,3.1,14.8,15.2
4,Muir Glen Organic,3.19,Whole Foods,2.9,2.8,2.7,3.2,3.1,14.8,14.7
4,Bionature Organic,3.39,Whole Foods,2.4,3.3,3.4,3.2,2.8,15.1,15.2
