STID,Quiz1,Quiz2,Midterm
94103213,55,50,15.75
94103868,0,0,0
94105388,0,0,9.5
94105882,55,0,14.5
94106168,0,0,0
94106746,46,90,14.5
94107312,41,60,12.5
94109335,80,0,14.25
94109968,51,95,22
95100972,48,40,0
95105573,0,0,17.25
95105765,21,0,5.5
95106472,30,60,15.5
95107563,46,60,16
95109791,0,0,0
95170413,56,5,5.25
95170424,0,10,3
95170519,0,20,1.5
95170638,0,30,2.75
95170684,0,0,0
96100436,100,80,22.5
96100469,100,90,17.75
96100758,100,90,20.5
96101216,0,15,13
96101284,81,65,19.5
96101602,30,0,8.5
96101646,61,100,18
96101657,95,90,16.2
96101992,0,0,0
96102053,80,65,15
96102104,81,100,14
96102212,10,0,10
96102245,65,20,17
96102278,100,100,16.75
96102291,77,85,18.75
96102523,41,0,0
96102629,95,60,20.5
96102664,0,85,15.5
96105531,0,70,14
96105553,45,95,16
96105564,100,100,22.24
96105575,65,85,15
96105604,83,90,18.6
96105648,58,80,14.25
96105661,65,75,12.75
96105712,70,0,9
96105723,31,10,10.75
96105734,100,73,23
96105745,0,0,0
96105756,36,5,10.75
96105778,55,0,1
96105807,100,70,19
96105818,0,0,0
96105853,0,10,7
96105904,56,90,22.5
96105937,26,60,10
96105948,100,70,21.5
96105961,45,75,18.5
96105972,100,95,20.5
96106022,0,50,11.75
96106033,40,70,20.25
96106044,100,90,20.25
96106117,16,80,11.5
96106141,36,35,11.25
96106163,85,65,19.7
96108645,16,65,18
96109606,0,30,14.5
96109736,100,70,18.75
96109747,100,95,20
96109906,100,90,18.25
96110056,65,10,17
96110118,0,60,15.25
96110797,16,0,10.25
97212907,0,0,0
