"","Number","Weight (N)","Stature (mm)","Head circumference (mm)","Shoulder breadth (mm)","Hand length (mm)","Hand breadth (mm)","Chest circumference (mm)","Waist circumference (mm)","Foot length (mm)","Foot breadth (mm)","Age (months)"
"1",1,124,842,473,232,100,50,478,469,131,62,24
"2",2,117,842,497,237,91,46,498,485,132,60,24
"3",3,113,846,467,240,97,45,467,457,123,53,24
"4",4,114,852,481,207,94,45,459,461,134,53,24
"5",5,121,875,479,231,90,49,493,472,135,59,24
"6",6,137,890,466,259,97,49,483,503,135,56,24
"7",7,127,898,495,235,98,46,484,455,156,58,24
"8",8,122,854,477,232,99,46,491,500,131,53,25
"9",9,138,872,475,241,97,50,522,481,140,60,25
"10",10,117,876,498,244,93,45,501,468,137,60,25
"11",11,121,876,490,230,94,46,507,475,137,56,25
"12",12,105,838,472,234,91,48,444,441,119,52,26
"13",13,138,858,490,261,102,54,484,476,142,63,26
"14",14,119,875,466,241,98,54,481,462,140,57,26
"15",15,153,881,482,253,107,56,552,531,154,69,28
"16",16,108,888,488,203,98,47,463,421,136,52,28
"17",17,156,910,504,237,109,54,534,517,138,58,28
"18",18,141,916,499,248,102,50,505,482,146,61,28
"19",19,109,865,478,213,99,45,473,442,136,60,29
"20",20,140,900,495,259,100,48,518,487,148,61,29
"21",21,124,905,480,239,101,46,490,476,141,56,29
"22",22,143,907,490,252,104,51,521,505,153,61,29
"23",23,147,925,486,249,111,53,527,523,150,60,29
"24",24,116,869,469,221,96,47,478,430,128,58,30
"25",25,137,874,503,239,104,55,518,475,161,60,30
"26",26,105,875,464,193,100,48,450,445,133,54,30
"27",27,133,888,487,242,100,49,498,483,137,59,30
"28",28,116,898,497,226,102,47,486,445,147,54,30
"29",29,122,867,465,241,106,51,497,444,138,53,31
"30",30,123,869,489,240,98,47,493,487,138,55,31
"31",31,139,893,495,237,106,54,497,492,138,61,31
"32",32,120,895,452,226,102,45,463,443,135,58,31
"33",33,115,914,472,230,102,48,460,388,139,56,31
"34",34,101,866,469,232,96,46,460,438,130,50,32
"35",35,115,867,459,236,107,51,475,433,151,60,32
"36",36,131,923,465,221,100,50,470,434,145,59,32
"37",37,125,944,478,249,106,45,489,462,147,51,32
"38",38,144,899,488,251,105,47,525,498,145,63,33
"39",39,146,928,498,251,103,52,511,471,149,64,33
"40",40,137,932,489,228,98,48,497,463,147,60,33
"41",41,141,944,475,246,105,47,488,488,150,61,33
"42",42,127,922,471,234,101,47,470,413,145,54,34
"43",43,135,926,485,213,105,52,477,454,144,60,34
"44",44,154,936,471,253,102,51,496,471,147,62,34
"45",45,130,937,492,246,102,46,502,493,140,55,34
"46",46,141,938,489,251,113,52,522,477,146,60,34
"47",47,155,958,467,258,102,56,533,493,151,67,34
"48",48,143,963,475,232,109,50,491,496,151,59,35
"49",49,131,972,481,229,107,47,485,447,148,62,35
"50",50,114,884,462,231,101,45,446,460,133,54,36
"51",51,157,922,483,260,102,49,508,494,133,61,36
"52",52,140,929,514,249,102,55,528,515,150,65,36
"53",53,148,949,477,234,103,55,521,482,147,59,36
"54",54,143,951,504,236,99,46,518,500,150,59,36
"55",55,137,954,517,230,113,50,497,462,156,64,36
"56",56,136,954,482,255,107,51,509,488,143,56,36
"57",57,166,958,497,262,107,55,533,514,145,61,36
"58",58,142,977,488,246,103,50,502,483,150,60,36
"59",59,175,994,502,254,109,53,530,521,157,68,36
"60",60,132,903,484,242,101,48,508,464,136,59,37
"61",61,152,929,502,227,95,47,508,532,139,60,37
"62",62,162,967,511,252,114,51,520,487,149,68,37
"63",63,125,969,473,241,115,51,457,434,148,56,37
"64",64,123,909,488,238,103,44,497,452,141,61,38
"65",65,141,947,507,234,111,56,482,483,161,66,38
"66",66,150,955,502,257,110,53,517,498,157,62,38
"67",67,145,959,495,236,103,50,493,458,148,64,38
"68",68,151,970,502,251,106,54,539,499,155,64,38
"69",69,140,980,496,245,111,51,492,488,156,58,38
"70",70,163,1004,481,258,112,53,550,491,171,66,38
"71",71,109,866,489,218,95,47,453,409,135,55,39
"72",72,106,899,466,235,95,47,434,444,140,60,39
"73",73,121,954,478,240,97,47,484,413,147,60,39
"74",74,142,958,500,250,107,51,510,480,140,58,39
"75",75,166,968,517,245,110,52,501,518,154,62,39
"76",76,152,971,497,251,107,53,505,499,160,63,39
"77",77,153,981,512,260,108,54,516,492,159,59,39
"78",78,159,987,489,268,116,55,526,488,158,66,39
"79",79,163,1011,514,259,110,52,533,515,150,62,39
"80",80,128,903,504,233,97,45,498,492,136,58,40
"81",81,132,937,485,246,101,50,505,495,143,59,40
"82",82,129,938,479,232,109,49,487,446,149,56,40
"83",83,131,945,485,239,103,50,498,451,144,61,40
"84",84,157,966,482,255,111,53,556,522,154,62,40
"85",85,159,975,506,265,105,58,540,494,150,64,40
"86",86,138,1018,485,228,115,51,498,446,152,56,40
"87",87,130,897,462,222,94,40,480,480,138,55,41
"88",88,142,918,503,255,107,50,513,508,138,57,41
"89",89,144,978,499,230,108,50,511,495,154,59,41
"90",90,156,985,499,258,102,51,556,547,151,64,41
"91",91,150,997,473,273,114,51,501,465,167,64,41
"92",92,167,1059,495,264,118,54,511,491,161,68,41
"93",93,136,947,464,226,104,52,497,472,147,65,42
"94",94,155,986,512,263,114,51,531,520,162,66,42
"95",95,177,1033,518,285,118,58,530,526,166,65,42
"96",96,181,1043,527,259,119,54,513,500,171,67,42
"97",97,133,927,489,241,94,46,528,470,140,60,43
"98",98,135,933,490,251,109,50,502,461,150,61,43
"99",99,129,943,488,238,105,48,475,430,150,64,43
"100",100,149,955,489,247,110,53,529,504,154,59,43
"101",101,146,968,473,254,102,52,489,446,149,62,43
"102",102,160,968,508,268,113,56,530,500,159,67,43
"103",103,132,987,499,238,112,52,478,461,160,64,43
"104",104,130,912,480,244,101,52,503,475,153,63,44
"105",105,137,974,500,217,104,49,495,489,151,57,44
"106",106,193,1043,503,275,118,58,550,556,165,67,44
"107",107,120,936,462,228,102,46,474,428,140,57,45
"108",108,137,963,485,245,105,54,498,465,145,57,45
"109",109,141,975,472,242,113,52,498,461,151,58,45
"110",110,160,1006,503,268,109,50,535,525,157,60,45
"111",111,165,1013,499,238,114,57,524,491,162,69,45
"112",112,149,1018,491,241,115,51,493,477,178,61,45
"113",113,155,1020,496,250,116,53,508,459,161,65,45
"114",114,161,1038,513,262,116,54,526,482,162,67,45
"115",115,175,1038,493,265,110,54,525,503,163,63,45
"116",116,146,955,501,260,109,47,542,530,156,57,46
"117",117,140,958,493,246,105,54,533,505,145,58,46
"118",118,146,968,498,252,111,52,527,514,153,61,46
"119",119,172,994,500,265,111,53,538,517,156,66,46
"120",120,165,997,489,253,116,51,532,491,163,61,46
"121",121,172,1018,498,272,123,55,548,518,165,68,46
