medianIncome,medianHouseValue
2.3026,90.6
1.125,233.3
2.4942,186.3
1.6467,90.9
2.1375,87.5
5.1782,195.1
5.2206,280.2
10.1989,500.001
4.0625,138.7
0.536,87.5
2.1513,145
1.8575,73.8
4.7891,295.3
2.1542,83.8
2.8167,160.4
4.375,177.6
2.8906,134.8
6.6689,433
2.3293,73.4
6.8132,282.5
1.3894,156.3
5.451,341.8
2.0042,114.2
3.016,107.5
1.9667,84.6
1.3571,59
3.0104,204.2
3.4028,67.5
6.8154,265.9
3.3036,197.5
7.494,439.2
7.508,348.7
5.1727,230.2
3.2727,268.5
4.9464,282.4
4.4387,190
3.1851,240.2
6.0142,437.4
2.3382,120.7
5.4868,158.8
2.625,98.2
4.275,185.3
2.1563,128.6
4.0096,165
2.4744,158.2
3.3864,397.9
6.3303,303
4.6406,500.001
3.025,140.6
5.623,500.001
2.25,93.4
4.2586,171
4.05,134.7
3.8203,141.5
1.2029,68.9
3.2788,101.6
5.3044,319
2.3583,105.4
3.1691,159.4
5.6315,484.6
1.8539,147.5
5.1207,310.9
5.2374,185.5
3.8958,301.1
1.7075,60.4
6.1008,286.2
5.3269,375
4.925,240.3
4.1563,172.6
8.6001,500.001
4.7333,286.9
1.6146,53.1
1.7929,82.3
3.6518,164.3
2.1827,72.7
6.2452,266.3
1.0972,104.5
1.2679,92
8.4112,286.9
4.1635,398.4
3.0967,144
5.4584,246.5
2.425,90
2,128
2.7813,159.2
1.4867,124
3.3516,105.6
5.2363,310
2.4107,88
4.6146,247.6
1.8472,99.1
4.7946,290.6
4.625,235.3
1.7813,145
2.5,162.5
3.5446,106.5
3.1213,78.8
1.758,126.6
3.1875,110.2
4.5833,197.3
4.1379,309.1
2.3895,87.5
1.6896,100
2.3971,87.5
4.5774,182.1
6.1636,367.7
2.1071,99.5
4.4712,500.001
2.2132,100
1.7196,75
4.7426,160.6
3.8576,318.6
5.5925,208.6
2.0025,54.7
2.6055,69.2
1.9727,114.1
6.7247,333.8
4.5208,114.2
5.2292,444.5
2.0417,78.8
2.1383,78.8
3.8,242.1
3.7326,164.3
3.75,120.8
2.871,184.4
3.96,272.2
4.3859,271.3
2.5664,215
3.0132,272.9
2.0161,364.3
1.9805,173.7
2.3929,134.4
3.3421,201
1.9707,107.9
2.6384,162.9
4.8403,268.6
4.4529,144.1
1.625,67.5
2.5865,133.8
3.2969,229.9
2.6149,83.5
1.6786,52.9
3.1908,194.3
2.3971,99.4
7.3693,373.6
4.0878,153.7
4.4583,397.1
2.8906,65.7
2.8295,72.1
6.2037,205.4
3.4952,150
4.9102,207.2
2.3175,154.5
4.2768,167.8
4.375,232.9
6.2113,500.001
4.4688,460.2
4.51,189.9
4.9861,500.001
2.0893,65
1.9219,107
5.6017,430
8.0113,393
5.1064,283.2
3.6214,182.1
8.3637,500.001
3.6336,235.2
4.8036,295.3
1.3824,212.5
1.6111,74.1
4.5729,337.5
2.369,173.4
5.1041,172.9
4.9222,142.9
1.8681,112.5
6.83,500.001
3.2649,202.1
4.5938,251.2
7.7108,450
3.95,219
2.2244,114.9
2.3611,87.9
2.125,416.7
4.7679,173.1
5.4604,193.4
2.5804,78.9
1.55,100
2.543,208.1
2.13,50.8
1.5147,94.6
3.0465,274.2
2.6181,108.9
3.4583,253.2
4.4375,500.001
3.425,165.6
2.182,147.5
4.0074,188
2.3194,52.9
5.1002,319.4
5.057,246.3
2.2721,139.8
3.4852,425
4.6806,288.9
2.0542,103.4
1.8495,212.5
3.6597,195.1
5.4485,225.2
3,178.6
6.1159,470.8
4.337,139.7
4.8295,149.6
2.5625,175
4.4561,96.9
3.4306,74.3
4.5417,219.6
1.8466,81.5
4.1724,211.6
4.1827,345.5
3.7292,475
8.8062,500.001
3.5781,366.7
6.6603,380.4
3.6635,282.1
6.195,264.9
4.4375,327.6
3.0417,146.3
5.748,284.2
7.5286,462.7
3.0963,156.9
2.79,226
4.4107,232.7
2.4701,290.9
8.1548,500.001
3.7083,131
2.1141,110.9
4.0357,153.8
5.6501,254.9
5.2396,223.9
4.2415,409.6
3.7813,209.1
5.273,187.6
2.1162,229.2
4.4375,191.5
3.017,72
2.6858,62.4
4.4539,192.2
2.788,150.5
4.0729,154.3
4.8623,176.9
5.0915,193.2
4.0972,163.7
2.9083,104.6
5.3991,273
6.9935,385.5
2.1842,107.9
2.875,178.3
2.8812,81.9
3.875,172
5.1786,376.8
2.5139,83.4
4.1083,324.3
4.8603,198.4
1.9821,93
2.2165,231.7
5.5787,142
3.2226,183.2
2.6941,63.3
2.2167,176.7
8.565,500.001
2.4016,287.5
5.888,447.7
3.5179,197.2
1.5774,58
3.0263,194.2
2.319,59.1
5.8336,283.3
3.049,307
1.998,153.5
5.7796,241.3
5.4035,356.3
4.005,180.4
1.7574,150
2.975,500.001
3.9773,131.3
3.3942,147.2
5.5545,214.2
4.8382,294.9
3.1875,372.7
3.4375,194.1
8.944,500.001
4.2708,218.2
3.184,220
3.6398,146.7
3.0755,166.8
5.3819,440.9
2.8438,307.1
2.5547,108.9
3.0703,180.8
8.2375,388.3
2.6458,91.3
4.125,120.7
2.0043,53.5
3.2442,268
5.2608,151.4
8.105,386.2
3.375,133.7
7.3669,187.5
3.7174,275
3.0871,138.8
6.3699,235.5
1.4619,60.5
3.625,156.3
1.9423,69.7
6.8677,288.5
4.2723,193.1
5.4741,238.8
5.6163,231
3.7235,263.6
10.4549,500.001
3.7143,163
5.3107,227.1
3.0833,155.4
5.5164,248.9
2.0769,100
8.7835,444.1
5.5469,265.2
1.4779,66
3.0526,216.4
4.0385,167.6
1.5,67
3.5524,89.1
3.244,179.8
5.0155,97.3
5.0787,219.2
2.6087,123.8
1.1681,78.1
2.2391,152.8
2.6932,66.4
5.3525,191.7
2.5949,108.3
1.8407,96.7
8.1564,390.1
2.8295,126.5
2.3382,297.5
1.7805,76.9
1.7153,77.1
2.9345,225
3.0521,108
3.1111,119.3
2.4833,157.5
10.7309,500.001
1.808,97
6.6355,276.1
3.1326,220.8
3.0583,160.3
1.9355,68.3
2.7661,113.9
7.7068,500.001
2.3011,57.5
4.9167,152.4
6.7474,338.2
5.2323,167.5
5.2359,213.3
3.0078,87.1
2.6495,116.2
4.1205,217
2.3625,233
8.4546,500.001
2.1591,181.5
2.0292,155.8
4.425,475
2.944,338.9
2.8025,84.3
3.7813,336.3
3.0461,264.3
3.6583,177.3
3.9868,281.9
3,114.6
10.8805,500.001
6,381.5
6.0577,451.8
2.1221,119.4
4.7341,237.4
6.2788,322.2
5.6975,231.4
1.6471,95
3.0707,417.9
3.7375,247.7
6.14,361.9
1.3,69.7
2.2976,54.4
3.2625,92.8
3.1779,171.1
5.5629,188.3
7.0329,368.3
3.2279,158.5
2.9048,98.2
4.875,258.8
3.5437,115.8
6.8538,368.9
3.8958,126.8
5.0443,194.8
3.8611,93.9
2.0724,97.7
2.1165,98.7
2.59,211.8
2.3071,146.4
4.7308,352.2
3.1713,170.1
4.976,158.3
1.3047,44.1
3.2109,376
2.4432,200
6.5261,324.7
2.1923,155
4.0375,86.4
4.6607,187.9
3.4219,92.8
3.6429,87.5
2.1571,147.9
5.4513,143.3
2.7159,101.4
3.4937,500.001
1.9837,62.3
6.0289,218.6
10.7751,500.001
5.3409,244.6
3.75,190.6
3.1417,74.6
4.7986,326.1
3.6953,176.8
7.8532,422.8
3.9688,182.8
5.3812,235.4
2.2278,90.5
5.3787,500.001
3.1028,106.4
4.2411,371.7
3.975,213.8
5.0758,211.1
6.5615,318.3
5.0526,269.8
5.6973,164.8
7.266,371.1
4.2992,174.4
5.4298,279.6
4.9335,298.1
3.2083,330
2.575,107.9
3.238,287.5
2.6458,127.5
2.9145,114.2
8.0837,380.6
3.5774,113.9
3.2368,212.5
2.7813,124.1
5.6228,375.4
2.1573,71.4
8.3695,500.001
5.1187,168.1
2.75,225
2.6937,111.8
2.9196,208.8
3.4074,72.7
5.3767,231.3
5.0917,262.5
3.5882,161.1
5.2648,294.4
3.1985,106.3
2.875,222.9
1.3371,66.9
3.0893,188.2
2.5129,115.9
9.5908,350
2.2417,97.9
4.2566,206.1
2.6833,240.9
6.2778,309.7
3.4125,160.7
3.4141,90.6
2.6023,221.1
3.2813,301.7
3.7167,180.4
6.0132,150.8
2.6875,116.3
3.0865,225
3.2917,83.1
6.1023,450
5.2361,224.7
5.6758,253.4
2.7736,107.8
4.0924,244.2
2.5263,286.4
3.6106,196.4
4.1857,198.6
5.4797,160
4,343.2
2.3598,57.5
2.6339,117
2.6071,57.1
4.375,210.4
3.2545,500.001
5.634,320.5
6.1244,375
6.912,457.2
4.1739,131.3
3.15,153.2
4.877,144.3
4.9022,169.3
2.5556,133.1
3.3152,198
10.3467,500.001
4.4375,289.6
4.1339,222.3
2.875,74.5
4.1016,283.3
3.3274,295.5
0.716,104.2
4.1111,158.6
1.0898,93.4
2.9891,205.2
3.9732,281.5
2.6667,128
2.4726,143.4
3.1667,231.6
5.308,297.9
4.0652,421.3
6.7703,500.001
2.7443,113.9
4.6875,218.2
4.1847,167.3
3.4914,153.9
3.5682,500.001
3.119,90.3
1.9722,500.001
3.5,165.1
11.615,500.001
2.125,243.8
5.9397,249.4
2.8864,143.1
3.5625,208.6
6.7196,306.8
5.5208,171.3
3.2545,131.2
3.7958,152.5
4.6019,208.4
8.9728,500.001
3.0577,119
4.0833,81.3
2.809,144.6
1.6006,146.2
11.1978,500.001
3.0187,154.6
4.0417,458.5
4.2802,194.8
4.2985,139.2
1.2171,59.3
4.2276,254.1
2.517,153.5
5.2099,191.4
3.7617,172.6
2.0549,95.6
2.5887,144.4
4.0187,235.6
6.0862,263.6
3.6471,141.7
3.5357,67.5
1.6581,118.8
2.7236,109.9
5.3275,168.7
1.2762,253.6
8.8467,450.7
3.8456,318.9
4.7228,183.8
3.6719,130.4
4.875,301.3
3.4609,166.3
4.4964,238.3
3.8846,164.1
3.4883,337.2
4.9042,343.5
3.6769,450
3.7348,125.8
1.4038,54.3
5,264.7
1.9483,112.5
4.4485,295.2
3.75,187.5
3.1393,116.3
3.5804,324.4
6.541,291.5
7.5744,259.3
3.0911,86.9
4.4551,252.4
3.8803,120
1.7564,42.6
3.025,87.9
2.6991,147.1
2.8797,285.3
4.425,268.4
1.7395,162.5
2.8125,157.4
5.0346,205.1
4.0039,195.1
2.0673,151.6
3.5562,146
4.526,148.7
3.5455,168.3
3.4543,194.5
2.9133,215.7
1.6071,112.5
4.0878,164.4
1.5771,65.2
3.2875,221.5
3.462,151.9
7.167,357.1
3.9792,88.9
2.375,98.5
2.2653,445
3.6042,166.4
6.2187,257.9
12.1387,500.001
4.5588,196.4
3.8571,366.7
3.9625,262.9
7.2494,336.5
2.9432,94
3.5,123.8
6.2488,252
5.8269,150.2
3.0444,167.2
5.112,218.3
1.6122,157.1
2.996,126.1
1.8704,88.5
2.1205,157.3
3.6705,167
1.2891,181.3
5.0099,162.5
4.3542,417.9
5.0864,113.7
1.7214,118.3
4.2841,312.4
2.6226,148.8
3.9097,81.3
5.6779,164.7
5.687,392.4
4.5625,275.2
3.225,229.4
4.875,200.4
5.1966,325.4
5.8309,309.1
2.6538,206.3
3.3398,89.7
4.5357,334.2
4.0118,245.8
4.7578,161
1.9479,85.8
3.5893,206.3
2.75,146
4.1902,235
5.9856,432.1
10.6186,429.3
1.6047,73.4
4.5625,100
3.5375,96.7
3.875,182.6
2.3214,247
1.8523,59.7
7.642,396.4
2.8448,360.6
8.5184,500.001
2.6071,103.7
4.569,333.9
2.2391,120
1.7878,55
4.8667,239.9
5.943,288.2
1.9875,114.9
4.9271,209.7
1.7212,59
4.03,141.2
7.0691,393.2
1.5227,71
0.7917,22.5
1.9853,101.1
2.5417,184.1
4.6923,192
2.9583,188.7
5.6445,135.5
7.5898,330.2
4.064,201.2
5.5936,386.8
2.0852,114.4
1.8369,59.4
4.8693,277.7
4.3583,187.2
3.7083,210
3.2578,184.2
1.4625,54.4
2.4821,111
1.3973,66.1
6.379,500.001
3.292,227.3
2.4375,176.3
3.358,364.5
4.7738,180
4.3831,209.8
4.2569,213.1
2.6964,107
7.7313,316.7
5.8239,247.5
3.1719,183.5
3.6161,131.3
6.0722,260.8
2,92.6
3.4609,123.3
7.2909,155.6
5.2987,203.4
1.2455,100.8
2.343,47.4
3.4338,195.2
5.0739,208
2.2765,146.6
4.8152,218.5
4.1471,177.8
1.5625,55.8
4.3428,152.1
4.7356,333.3
5.6447,252.6
4.2059,500.001
4.2305,221.4
3.9798,458.6
3.703,361.3
4.2989,364.7
4.8693,156.9
3.35,492.9
7.2074,291.3
5.7984,297.6
2.7569,127.5
2.5667,77.4
3.125,130.6
3.0598,99.7
4.1618,500.001
1.398,103.8
1.575,57.1
2.7917,98.2
4.2865,221.1
6.0335,255.4
3.4839,180.6
3.9812,136.6
3.5,113.3
3.6227,92.8
2.8409,153
4.9485,202.3
7.6166,260.4
4.7953,210.9
2.0729,84.7
4.125,241.4
3.575,113.5
3.0859,134.6
4.5234,192.2
4.9589,282.1
2.3611,112.5
2.5373,143
1.1875,63.8
3.8194,134.4
5.2297,192.8
4.7708,156.3
3.8,145.8
4.0735,208.7
2.5,96.3
2.9762,184.4
2.0938,87.5
3.0139,65.3
4.5179,177.1
4.4437,305
5.7817,267.6
3.5694,278.6
5.0369,163.9
1.4946,55.5
2.543,100
2.9038,82
5.033,270.9
3.2284,157.1
2.1366,101.9
3.2167,112.5
1.9722,99.2
2.3,108.9
3.215,331.3
3.8529,145.5
3.4145,40.4
2.0562,102
2.3152,140.6
2.225,81.6
2.4835,274.3
3.6875,492.3
3.2639,86.4
3.5045,352.5
3.1193,153.3
5.5944,290.5
2.1641,122.9
4.4896,500.001
10.7958,500.001
4.4074,277.3
4.375,291.7
3.1979,113.5
2.5644,73
3.1346,120
4.4312,226
2.3882,137.7
4.4286,234.9
8.5282,360.1
6.8162,127.2
5.0681,230.5
3.8529,147.7
4.6406,169.2
2.2311,206.3
1.5833,65.1
3.3008,224.2
7.9627,345.4
4.6761,143.1
4.3548,192.3
1.6652,58.9
3.2723,166.9
5.6454,500.001
3.6944,175.2
1.25,42.5
6.359,341.9
6.0704,173.4
3.7167,131.9
2.5043,76.7
6.0436,473
3.2235,500
5.1036,103.4
4.6852,395.2
4.5208,442.1
2.7759,200
2.6127,69.6
0.4999,162.5
10.1007,500.001
5.2539,500.001
2.9201,322.2
4.5662,150.3
1.875,127.3
3.6033,157.8
2.5083,70.1
3.6875,111.4
2.0469,66.9
1.2746,129.7
1.5417,268.8
3.6,179.4
3.9583,206
2.4643,182
1.6232,93.4
2.3347,104
7.7464,474.6
5.1084,303.8
2.8654,280
2.8941,256.7
3.1333,100
6.4685,241.2
4.0529,138.2
6.177,262.9
3.4,196.9
4.3068,240.1
4.3586,173.4
2.9688,86.4
4.6,136.8
4.9,354.2
1.858,67.5
5.7078,217
6.3331,400
3.9333,196.1
2.4659,94.7
6.6012,314.9
4.125,72
10.3203,400
6.5162,349.4
5.4689,158.2
4.8295,212.1
1.8571,143.8
4.2778,97.3
4.2019,140.1
3.788,134.2
2.5459,179.3
6.1726,500.001
3.5214,197.6
6.2726,258.2
3.3021,195.7
10.3354,477.6
3.5323,109.8
2.7375,90.8
3.3482,220
5.5275,228.9
5.9934,196.7
5.8096,264.4
4.0159,169.1
3.8056,177.2
4.0042,208.3
3.2663,270.6
3.2326,204.7
3.285,218.1
2.0357,107.3
1.8047,101.8
2.5227,187.5
6.46,425.5
1.875,84
2.9016,159.8
3.6437,275
2.35,91.7
2.6812,107.6
3.6289,195.8
5.1333,181.8
5.0102,340.1
5.8635,348.7
2.9781,109
3.7727,413
3.5556,172.8
6.9296,500.001
4.8667,218.3
2.8375,166.5
4.1333,158.2
5.4895,156.7
4.4107,202
2.0674,65
3.5838,271.3
3.755,68
4.3527,167
2.5313,108.3
5.5073,178.9
4.163,393.8
4.2782,327.7
1.0962,72.3
6.3669,315.5
4.8958,142.5
0.8928,55
3.7105,272.6
7.2118,311.5
4.0119,119.4
2.3846,258.3
1.7052,107.4
3.5256,192.6
5.1842,157.7
3.9936,148.5
3.2891,150.6
2.7396,125.6
5.2838,172.6
3.8085,181.4
4.174,205.1
4.3362,159.4
2.8649,137.5
5.0795,243.3
2.7138,22.5
5.2139,129.3
7.6084,402.5
1.7875,76.8
5.5871,500.001
3.1304,166.3
6.0362,463.5
3.233,99.4
3.0833,151.7
2.5294,159.4
2.9453,72.2
2.7413,123.1
1.5809,70
4.775,194.1
2.66,189.2
4.4886,179.1
4.6277,228.3
3.9688,175
2.9107,169.7
5.0965,295.3
7.6877,367.7
1.3362,95
3.267,185.4
3.4907,153.5
4.5189,422.2
1.6635,64.4
2.0284,101.6
4.6087,224.6
4.0862,162.7
3.0263,162.5
7.5,434.5
4.6625,294
6.0115,175
4.2857,500.001
3.0035,94.6
2.1357,187.5
1.9881,85.2
4.0368,269.7
3.4375,314.5
0.8246,91.7
4.3839,299.1
2.1496,97.7
2.5523,387.5
4.4674,500.001
5,354.2
2.7083,87.8
3.4327,254.5
4.0052,160.7
2.7863,108.6
6.1815,288.5
3.3287,273.4
4.4464,353.1
4.498,482.9
5.3272,174.2
2.1903,160
3.016,95.3
5.8311,387.7
3.5417,96.6
1.4432,48.1
5.1637,500.001
2.975,90
10.1714,481.5
4.5333,377.3
12.3411,500.001
2.1979,95.3
3.075,215.8
2.3568,204.7
2.7466,208.9
2.0329,225
2.3906,92.6
2.5893,70.9
3.8068,500.001
3.0057,235.3
3.7734,314.7
2.1382,104
7.4542,500.001
2.6098,66
1.5893,52
2.8125,117.2
2.6719,193.6
6.1825,336.9
6.7694,275.1
7.0598,356.3
5.0142,269.9
2.7813,120.3
4.4519,137.5
3.6458,208.1
4.375,129.9
4.196,171.7
2.77,68.4
5.4858,187.8
2.6709,215.5
2.1714,190.6
2.5909,125.4
6.3132,259.2
4.1711,160.1
3.9943,100.2
2.6648,129.2
2.6354,128.1
4,375
3.5114,197.5
10.6605,500.001
7.1267,277.9
4.0288,184
6.7232,345
2.125,151.8
2.6397,164.4
3.7813,362.5
4.6389,173.8
6.6897,289.8
1.2269,181.9
8.3634,355.1
1.4048,86.5
8.4016,338.7
5.5061,239.4
5.5941,363.5
4.0536,134.8
5.0862,261.3
1.2,50
3.8505,169.6
2.4722,194.3
2.6458,112.5
3.1373,185.1
3.5192,98
3.5268,146.4
1.7311,182.6
3.8542,200
1.7188,49.5
3.5156,109.5
10.2252,462.8
10.7372,500.001
2.0984,158
3.8333,296.3
3.145,169.1
6.7974,367.6
4.875,269.3
9.4664,500.001
2.7292,193.8
2.8583,105.8
4.8836,396.2
6.6827,313.7
2.625,192.3
4.1719,187
3.5547,122.4
4.1719,213.5
4.2885,160.3
6.4271,451.7
7.0242,293.1
6.0097,220.2
1.9417,76.1
3.1042,164.8
1.075,67.5
5.7912,327.1
2.25,192
4.3403,500
2.4012,79.7
5.1008,247.1
2.15,132.2
3.6341,391.5
6.597,496.4
4.1696,222.5
4.5458,208.2
3.1065,229.2
3.0917,167.2
3.6025,116.4
5.4482,190.8
5.4324,215.5
1.7062,164.6
5.8371,500.001
4.7909,149.2
4.392,187.6
4.8438,226.3
4.0625,141.7
2.9125,475
5.6798,320.9
3.6094,179.2
7.8711,500.001
5.0507,291.5
3.7837,160.3
7.9813,473.5
4.9083,346.8
2.2454,165
8.8342,430.5
3.6111,112.3
1.275,60.4
6.6125,393.2
5.6739,173.8
7.9976,500.001
2.0978,155.4
2.0833,77.3
3.7679,131.3
8.1039,382.2
4.375,150.5
4.8145,230.7
3.4506,139
4.9962,156
2.6573,141.8
5.0346,240.5
2.7463,156.1
4,223.4
3.0217,131.6
3.4821,113.7
2.2165,90.6
7.9892,500.001
3.428,140.7
2.1731,82
6.8753,403
3.9338,84.7
2.5755,325
5.7652,259.9
2.3056,90.4
3.2663,337.5
5.5,231.7
2.4348,230.6
2.9241,187.5
3.5769,135.7
5.338,270.9
3.4265,158.9
4.6667,138.2
3.4186,127.3
3.9698,142.7
3.3214,176.4
3.2879,95.5
4.0182,131.7
3.129,375
1.5407,58.4
1.5143,118.8
2.8882,137.5
4.4821,140.3
2.8835,196.5
2.5125,176.6
1.4066,66.4
3.9375,187.5
3.7796,159
2.6016,121.2
1.0633,137.5
2.6765,96.4
3.5848,186.9
2.8125,291.3
5.0417,240.8
6.1349,500.001
2.8864,103.1
4.025,240.7
3.343,184.6
3.7188,163.4
3.668,171.2
4.6563,291.7
3.5488,205.6
2.8125,229.9
2.375,141
4.8359,195.6
4.1742,159.9
2.7054,141.7
4.4205,135.5
5.069,264.2
2.375,71.3
3.0546,297.9
2.1702,179.7
4.7269,303.9
3.2125,251
5.6704,303.7
3.2756,156.8
4.0833,162.5
11.1228,500.001
5.8752,274.2
3.1106,147.7
4.0882,468.8
2.8393,272
7.7234,304.1
2.0284,96.3
1.4413,158.9
1.7,69
3.6875,162.5
5.1824,500.001
3.153,150.9
1.7422,61.5
11.3283,500.001
4,167.9
2.3947,70.5
4.5066,140.2
3.5893,214.3
2.6321,223.1
8.5621,347.8
0.8907,154.2
3.6923,213.2
2.9423,200
3.1445,438.3
0.9227,95.5
2.3693,127
2.4459,85.8
4.3098,197.9
3.6745,335.5
2.6288,96
6.2893,282.7
3.89,170
1.1667,78.4
4.1719,206.1
1.6045,57.3
2.4053,105.2
3.864,123.4
4.7216,311.9
5.5,241.4
2.7188,113.1
0.9365,52.5
2.8821,158.1
4.1141,305
6.6369,192.6
2.4333,155
2.8009,192.6
4.7431,239.7
4.6932,356.1
1.8824,162.5
5.0329,165.6
4.625,229.6
4.05,177.9
3.6343,95.4
4.9844,203
4.7022,172.8
1.5625,108.3
3.2596,98.7
6.7669,500.001
3.25,112.5
4.1939,237.9
3.2212,180.5
5.6826,300
1.7961,47.5
1.9122,55.5
5.3816,500.001
1.845,237.5
4.9444,132.7
2.3,206.3
1.2917,66.3
3.1312,247.6
4.1933,163.1
2.1336,75
4.7667,195.2
6.9754,402.5
11.6471,500.001
2.1964,158.5
2.925,142.4
3.2599,183.1
1.4648,61.8
3.2371,94.5
1.2,99.2
4.3661,222.1
5.4063,440.9
3.6548,180.3
4.5481,164.8
4.46,189.8
6.6104,330.9
1.725,57.5
4.5,202.1
6.2516,159.3
3.9063,178.4
2.0819,111.8
4.0341,243.3
2.2843,183.8
4.5833,177.2
7.8407,476.4
2.6513,72.3
1.4904,275
8.4045,451.1
3.9118,333.7
3.0817,118.8
3.275,189.9
5.0249,196.7
2.1186,94.4
3.7614,255.9
1.1696,500.001
2.9187,52.1
2.6875,178.2
4.8194,181.3
4.4259,158
3.4955,160.9
5.422,316.6
1.9309,173.4
4.4,500
2.0441,73.3
5,154.8
2.712,143.8
5.0049,460
3,184.7
2.1964,125
3.7054,308.5
2.5463,200
3.1815,189.1
8.0239,500.001
2.5119,180.5
7.5604,327.9
2.9,158.7
4.1717,500.001
3.5139,192.8
1.875,150
3.6488,340.8
5.4727,238.9
