ID,Name,Sex,Age,Height,Weight,Team,Year,Season,Sport,Medal
16,Juhamatti Tapio Aaltonen,M,28,184,85,Finland,2014,Winter,Ice Hockey,Bronze
17,Paavo Johannes Aaltonen,M,28,175,64,Finland,1948,Summer,Gymnastics,Bronze
17,Paavo Johannes Aaltonen,M,28,175,64,Finland,1948,Summer,Gymnastics,Gold
17,Paavo Johannes Aaltonen,M,28,175,64,Finland,1948,Summer,Gymnastics,Gold
17,Paavo Johannes Aaltonen,M,28,175,64,Finland,1948,Summer,Gymnastics,Gold
17,Paavo Johannes Aaltonen,M,32,175,64,Finland,1952,Summer,Gymnastics,Bronze
20,Kjetil Andr Aamodt,M,20,176,85,Norway,1992,Winter,Alpine Skiing,Gold
20,Kjetil Andr Aamodt,M,20,176,85,Norway,1992,Winter,Alpine Skiing,Bronze
20,Kjetil Andr Aamodt,M,22,176,85,Norway,1994,Winter,Alpine Skiing,Silver
20,Kjetil Andr Aamodt,M,22,176,85,Norway,1994,Winter,Alpine Skiing,Bronze
20,Kjetil Andr Aamodt,M,22,176,85,Norway,1994,Winter,Alpine Skiing,Silver
20,Kjetil Andr Aamodt,M,30,176,85,Norway,2002,Winter,Alpine Skiing,Gold
20,Kjetil Andr Aamodt,M,30,176,85,Norway,2002,Winter,Alpine Skiing,Gold
20,Kjetil Andr Aamodt,M,34,176,85,Norway,2006,Winter,Alpine Skiing,Gold
30,Pepijn Aardewijn,M,26,189,72,Netherlands,1996,Summer,Rowing,Silver
37,Ann Kristin Aarnes,F,23,182,64,Norway,1996,Summer,Football,Bronze
62,Giovanni Abagnale,M,21,198,90,Italy,2016,Summer,Rowing,Bronze
63,Jos Luis Abajo Gmez,M,30,194,87,Spain,2008,Summer,Fencing,Bronze
65,Patimat Abakarova,F,21,165,49,Azerbaijan,2016,Summer,Taekwondo,Bronze
67,Mariya Vasilyevna Abakumova (-Tarabina),F,22,179,80,Russia,2008,Summer,Athletics,Silver
72,Aleksey Aleksandrovich Abalmasov,M,28,180,83,Belarus,2008,Summer,Canoeing,Gold
73,Luc Abalo,M,23,182,86,France,2008,Summer,Handball,Gold
73,Luc Abalo,M,27,182,86,France,2012,Summer,Handball,Gold
73,Luc Abalo,M,31,182,86,France,2016,Summer,Handball,Silver
76,Jouan Patrice Abanda Etong,M,22,185,82,Cameroon,2000,Summer,Football,Gold
80,Jos Mara Abarca Plotas,M,22,186,83,Spain,1996,Summer,Water Polo,Gold
84,Stephen Anthony Abas,M,26,165,55,United States,2004,Summer,Wrestling,Silver
85,Alejandro Abascal Garca,M,28,181,82,Spain,1980,Summer,Sailing,Gold
86,Jos Manuel Abascal Gmez,M,26,182,67,Spain,1984,Summer,Athletics,Bronze
90,Tamila Rashidovna Abasova,F,21,163,60,Russia,2004,Summer,Cycling,Silver
93,Jol Marc Abati,M,38,190,85,France,2008,Summer,Handball,Gold
99,Pter Abay,M,30,181,79,Hungary,1992,Summer,Fencing,Silver
106,Agostino Abbagnale,M,22,188,96,Italy,1988,Summer,Rowing,Gold
106,Agostino Abbagnale,M,29,188,96,Italy,1996,Summer,Rowing,Gold
106,Agostino Abbagnale,M,34,188,96,Italy,2000,Summer,Rowing,Gold
107,Carmine Abbagnale,M,22,182,90,Italy,1984,Summer,Rowing,Gold
107,Carmine Abbagnale,M,26,182,90,Italy,1988,Summer,Rowing,Gold
107,Carmine Abbagnale,M,30,182,90,Italy,1992,Summer,Rowing,Silver
108,Giuseppe Abbagnale,M,25,187,97,Italy,1984,Summer,Rowing,Gold
108,Giuseppe Abbagnale,M,29,187,97,Italy,1988,Summer,Rowing,Gold
108,Giuseppe Abbagnale,M,33,187,97,Italy,1992,Summer,Rowing,Silver
143,"Desmond ""Des"" Abbott",M,21,184,87,Australia,2008,Summer,Hockey,Bronze
145,Jeremy Abbott,M,28,175,70,United States,2014,Winter,Figure Skating,Bronze
153,Monica Cecilia Abbott,F,23,191,88,United States,2008,Summer,Softball,Silver
165,Nia Nicole Abdallah,F,20,175,56,United States,2004,Summer,Taekwondo,Silver
250,Saeid Morad Abdevali,M,26,170,80,Iran,2016,Summer,Wrestling,Bronze
259,Reema Abdo,F,21,173,59,Canada,1984,Summer,Swimming,Bronze
297,Lala Abdul Rashid,M,38,169,91,Pakistan,1960,Summer,Hockey,Gold
298,Muhammad Abdul Rashid,M,23,181,72,Pakistan,1964,Summer,Hockey,Silver
316,Zagalav Abdulbekovich Abdulbekov,M,26,160,62,Soviet Union,1972,Summer,Wrestling,Gold
337,Mukhammad Kadyr Abdullayev,M,26,169,63,Uzbekistan,2000,Summer,Boxing,Gold
339,Namiq Yadulla Abdullayev,M,25,167,55,Azerbaijan,1996,Summer,Wrestling,Silver
339,Namiq Yadulla Abdullayev,M,29,167,55,Azerbaijan,2000,Summer,Wrestling,Gold
351,Julius Shareef Abdur-Rahim,M,23,202,104,United States,2000,Summer,Basketball,Gold
357,Yusup Abdusalomov,M,30,170,84,Tajikistan,2008,Summer,Wrestling,Silver
359,Andrey Khakimovich Abduvaliyev,M,26,190,125,Unified Team,1992,Summer,Athletics,Gold
367,Masashi Abe,M,28,175,64,Japan,1994,Winter,Nordic Combined,Gold
379,Addis Abebe,M,21,160,50,Ethiopia,1992,Summer,Athletics,Bronze
391,Clarence John Abel,M,23,185,102,United States,1924,Winter,Ice Hockey,Silver
394,Irene Abel,F,19,160,48,East Germany,1972,Summer,Gymnastics,Silver
395,Jennifer Abel,F,20,160,62,Canada,2012,Summer,Diving,Bronze
411,Gezahgne Abera,M,22,166,58,Ethiopia,2000,Summer,Athletics,Gold
416,Nils Georg berg,M,19,181,78,Sweden,1912,Summer,Athletics,Bronze
416,Nils Georg berg,M,19,181,78,Sweden,1912,Summer,Athletics,Silver
423,Michael Brent Abernathy,M,22,182,84,United States,2000,Summer,Baseball,Gold
428,Elvan Abeylegesse,F,25,159,40,Turkey,2008,Summer,Athletics,Silver
443,Ismail Abilov (-Nizamolu),M,29,172,82,Bulgaria,1980,Summer,Wrestling,Gold
454,"Edgar Allen ""Ed"" Ablowich",M,19,182,68,United States,1932,Summer,Athletics,Gold
455,Denis Mikhaylovich Ablyazin,M,19,161,62,Russia,2012,Summer,Gymnastics,Bronze
455,Denis Mikhaylovich Ablyazin,M,19,161,62,Russia,2012,Summer,Gymnastics,Silver
