"Index","Date","Accidents"
"1",2005-01-01,308
"2",2005-01-02,306
"3",2005-01-03,293
"4",2005-01-04,473
"5",2005-01-05,523
"6",2005-01-06,553
"7",2005-01-07,510
"8",2005-01-08,439
"9",2005-01-09,357
"10",2005-01-10,523
"11",2005-01-11,549
"12",2005-01-12,547
"13",2005-01-13,657
"14",2005-01-14,715
"15",2005-01-15,461
"16",2005-01-16,412
"17",2005-01-17,625
"18",2005-01-18,681
"19",2005-01-19,657
"20",2005-01-20,564
"21",2005-01-21,595
"22",2005-01-22,533
"23",2005-01-23,490
"24",2005-01-24,576
"25",2005-01-25,592
"26",2005-01-26,587
"27",2005-01-27,607
"28",2005-01-28,650
"29",2005-01-29,528
"30",2005-01-30,398
"31",2005-01-31,569
"32",2005-02-01,628
"33",2005-02-02,554
"34",2005-02-03,546
"35",2005-02-04,547
"36",2005-02-05,448
"37",2005-02-06,360
"38",2005-02-07,561
"39",2005-02-08,584
"40",2005-02-09,561
"41",2005-02-10,561
"42",2005-02-11,696
"43",2005-02-12,502
"44",2005-02-13,386
"45",2005-02-14,437
"46",2005-02-15,621
"47",2005-02-16,447
"48",2005-02-17,529
"49",2005-02-18,638
"50",2005-02-19,449
"51",2005-02-20,366
"52",2005-02-21,520
"53",2005-02-22,521
"54",2005-02-23,541
"55",2005-02-24,511
"56",2005-02-25,598
"57",2005-02-26,500
"58",2005-02-27,369
"59",2005-02-28,540
"60",2005-03-01,590
"61",2005-03-02,557
"62",2005-03-03,487
"63",2005-03-04,609
"64",2005-03-05,488
"65",2005-03-06,404
"66",2005-03-07,433
"67",2005-03-08,466
"68",2005-03-09,492
"69",2005-03-10,492
"70",2005-03-11,565
"71",2005-03-12,457
"72",2005-03-13,351
"73",2005-03-14,471
"74",2005-03-15,504
"75",2005-03-16,560
"76",2005-03-17,570
"77",2005-03-18,585
"78",2005-03-19,494
"79",2005-03-20,377
"80",2005-03-21,440
"81",2005-03-22,534
"82",2005-03-23,529
"83",2005-03-24,584
"84",2005-03-25,445
"85",2005-03-26,434
"86",2005-03-27,334
"87",2005-03-28,391
"88",2005-03-29,452
"89",2005-03-30,478
"90",2005-03-31,404
"91",2005-04-01,464
"92",2005-04-02,492
"93",2005-04-03,380
"94",2005-04-04,447
"95",2005-04-05,493
"96",2005-04-06,539
"97",2005-04-07,544
"98",2005-04-08,525
"99",2005-04-09,461
"100",2005-04-10,406
"101",2005-04-11,483
"102",2005-04-12,469
"103",2005-04-13,564
"104",2005-04-14,570
"105",2005-04-15,624
"106",2005-04-16,490
"107",2005-04-17,424
"108",2005-04-18,597
"109",2005-04-19,532
"110",2005-04-20,513
"111",2005-04-21,541
"112",2005-04-22,607
"113",2005-04-23,496
"114",2005-04-24,442
"115",2005-04-25,520
"116",2005-04-26,577
"117",2005-04-27,665
"118",2005-04-28,505
"119",2005-04-29,716
"120",2005-04-30,575
"121",2005-05-01,486
"122",2005-05-02,482
"123",2005-05-03,570
"124",2005-05-04,505
"125",2005-05-05,530
"126",2005-05-06,651
"127",2005-05-07,551
"128",2005-05-08,440
"129",2005-05-09,517
"130",2005-05-10,532
"131",2005-05-11,592
"132",2005-05-12,590
"133",2005-05-13,625
"134",2005-05-14,585
"135",2005-05-15,508
"136",2005-05-16,589
"137",2005-05-17,512
"138",2005-05-18,520
"139",2005-05-19,608
"140",2005-05-20,688
"141",2005-05-21,613
"142",2005-05-22,438
"143",2005-05-23,611
"144",2005-05-24,581
"145",2005-05-25,559
"146",2005-05-26,586
"147",2005-05-27,671
"148",2005-05-28,518
"149",2005-05-29,416
"150",2005-05-30,439
"151",2005-05-31,519
"152",2005-06-01,655
"153",2005-06-02,482
"154",2005-06-03,576
"155",2005-06-04,462
"156",2005-06-05,401
"157",2005-06-06,489
"158",2005-06-07,616
"159",2005-06-08,615
"160",2005-06-09,521
"161",2005-06-10,648
"162",2005-06-11,498
"163",2005-06-12,454
"164",2005-06-13,532
"165",2005-06-14,527
"166",2005-06-15,679
"167",2005-06-16,529
"168",2005-06-17,621
"169",2005-06-18,576
"170",2005-06-19,483
"171",2005-06-20,562
"172",2005-06-21,589
"173",2005-06-22,663
"174",2005-06-23,650
"175",2005-06-24,735
"176",2005-06-25,483
"177",2005-06-26,458
"178",2005-06-27,630
"179",2005-06-28,580
"180",2005-06-29,555
"181",2005-06-30,605
"182",2005-07-01,628
"183",2005-07-02,466
"184",2005-07-03,442
"185",2005-07-04,628
"186",2005-07-05,693
"187",2005-07-06,540
"188",2005-07-07,527
"189",2005-07-08,570
"190",2005-07-09,506
"191",2005-07-10,484
"192",2005-07-11,589
"193",2005-07-12,581
"194",2005-07-13,557
"195",2005-07-14,591
"196",2005-07-15,620
"197",2005-07-16,582
"198",2005-07-17,488
"199",2005-07-18,535
"200",2005-07-19,535
"201",2005-07-20,544
"202",2005-07-21,474
"203",2005-07-22,574
"204",2005-07-23,427
"205",2005-07-24,531
"206",2005-07-25,503
"207",2005-07-26,471
"208",2005-07-27,597
"209",2005-07-28,657
"210",2005-07-29,584
"211",2005-07-30,527
"212",2005-07-31,438
"213",2005-08-01,445
"214",2005-08-02,540
"215",2005-08-03,534
"216",2005-08-04,492
"217",2005-08-05,660
"218",2005-08-06,454
"219",2005-08-07,458
"220",2005-08-08,543
"221",2005-08-09,522
"222",2005-08-10,507
"223",2005-08-11,509
"224",2005-08-12,607
"225",2005-08-13,639
"226",2005-08-14,406
"227",2005-08-15,432
"228",2005-08-16,496
"229",2005-08-17,601
"230",2005-08-18,525
"231",2005-08-19,642
"232",2005-08-20,472
"233",2005-08-21,452
"234",2005-08-22,642
"235",2005-08-23,537
"236",2005-08-24,631
"237",2005-08-25,618
"238",2005-08-26,564
"239",2005-08-27,447
"240",2005-08-28,423
"241",2005-08-29,477
"242",2005-08-30,576
"243",2005-08-31,557
"244",2005-09-01,518
"245",2005-09-02,654
"246",2005-09-03,494
"247",2005-09-04,449
"248",2005-09-05,450
"249",2005-09-06,502
"250",2005-09-07,575
"251",2005-09-08,618
"252",2005-09-09,602
"253",2005-09-10,599
"254",2005-09-11,364
"255",2005-09-12,552
"256",2005-09-13,548
"257",2005-09-14,511
"258",2005-09-15,743
"259",2005-09-16,692
"260",2005-09-17,553
"261",2005-09-18,348
"262",2005-09-19,496
"263",2005-09-20,554
"264",2005-09-21,520
"265",2005-09-22,540
"266",2005-09-23,702
"267",2005-09-24,537
"268",2005-09-25,479
"269",2005-09-26,513
"270",2005-09-27,590
"271",2005-09-28,656
"272",2005-09-29,612
"273",2005-09-30,749
"274",2005-10-01,542
"275",2005-10-02,423
"276",2005-10-03,453
