"","LotArea","SalePrice"
"1",8450,208500
"2",9600,181500
"3",11250,223500
"4",9550,140000
"5",14260,250000
"6",14115,143000
"7",10084,307000
"8",10382,200000
"9",6120,129900
"10",7420,118000
"11",11200,129500
"12",11924,345000
"13",12968,144000
"14",10652,279500
"15",10920,157000
"16",6120,132000
"17",11241,149000
"18",10791,90000
"19",13695,159000
"20",7560,139000
"21",14215,325300
"22",7449,139400
"23",9742,230000
"24",4224,129900
"25",8246,154000
"26",14230,256300
"27",7200,134800
"28",11478,306000
"29",16321,207500
"30",6324,68500
"31",8500,40000
"32",8544,149350
"33",11049,179900
"34",10552,165500
"35",7313,277500
"36",13418,309000
"37",10859,145000
"38",8532,153000
"39",7922,109000
"40",6040,82000
"41",8658,160000
"42",16905,170000
"43",9180,144000
"44",9200,130250
"45",7945,141000
"46",7658,319900
"47",12822,239686
"48",11096,249700
"49",4456,113000
"50",7742,127000
"51",13869,177000
"52",6240,114500
"53",8472,110000
"54",50271,385000
"55",7134,130000
"56",10175,180500
"57",2645,172500
"58",11645,196500
"59",13682,438780
"60",7200,124900
"61",13072,158000
"62",7200,101000
"63",6442,202500
"64",10300,140000
"65",9375,219500
"66",9591,317000
"67",19900,180000
"68",10665,226000
"69",4608,80000
"70",15593,225000
"71",13651,244000
"72",7599,129500
"73",10141,185000
"74",10200,144900
"75",5790,107400
"76",1596,91000
"77",8475,135750
"78",8635,127000
"79",10778,136500
"80",10440,110000
"81",13000,193500
"82",4500,153500
"83",10206,245000
"84",8892,126500
"85",8530,168500
"86",16059,260000
"87",11911,174000
"88",3951,164500
"89",8470,85000
"90",8070,123600
"91",7200,109900
"92",8500,98600
"93",13360,163500
"94",7200,133900
"95",9337,204750
"96",9765,185000
"97",10264,214000
"98",10921,94750
"99",10625,83000
"100",9320,128950
"101",10603,205000
"102",9206,178000
"103",7018,118964
"104",10402,198900
"105",7758,169500
"106",9375,250000
"107",10800,100000
"108",6000,115000
"109",8500,115000
"110",11751,190000
"111",9525,136900
"112",7750,180000
"113",9965,383970
"114",21000,217000
"115",7259,259500
"116",3230,176000
"117",11616,139000
"118",8536,155000
"119",12376,320000
"120",8461,163990
"121",21453,180000
"122",6060,100000
"123",9464,136000
"124",7892,153900
"125",17043,181000
"126",6780,84500
"127",4928,128000
"128",4388,87000
"129",7590,155000
"130",8973,150000
"131",14200,226000
